ID,name,remote_url,size,dateOfLastCommit
632aee9a-386e-4539-81a8-0066bf8d2dad,ob-lib-onboarding-core,https://Superdigital-HoldCo@dev.azure.com/Superdigital-HoldCo/global-platform/_git/ob-lib-onboarding-core,60920,2020-11-18 16:52:57+00:00
caa65b92-c6e4-4fbd-bee7-00c22d454744,pix-chave-dict-worker,https://Superdigital-HoldCo@dev.azure.com/Superdigital-HoldCo/global-platform/_git/pix-chave-dict-worker,726,2020-08-27 19:58:05+00:00
24e4608c-f74b-441d-b056-00e8235577dd,pa-ms-post-processing,https://Superdigital-HoldCo@dev.azure.com/Superdigital-HoldCo/global-platform/_git/pa-ms-post-processing,141185,2021-05-05 21:09:34+00:00
6a5facce-bb75-4f79-a273-0162c18273ad,pa-ms-exchange-rates,https://Superdigital-HoldCo@dev.azure.com/Superdigital-HoldCo/global-platform/_git/pa-ms-exchange-rates,170113,2021-05-05 17:18:40+00:00
c3b1b6f2-0610-4573-b3f6-034c3c759782,ssd.puppet.topaz,https://Superdigital-HoldCo@dev.azure.com/Superdigital-HoldCo/global-platform/_git/ssd.puppet.topaz,239298743,2021-02-22 18:56:19+00:00
2981214d-94cf-4807-90d9-03c0173e8aab,qa-quantum-integrated-tests,https://Superdigital-HoldCo@dev.azure.com/Superdigital-HoldCo/global-platform/_git/qa-quantum-integrated-tests,18774,2021-03-05 13:32:20+00:00
a167d3ae-a7da-45b1-98cd-0460779a1eeb,pa-client-ms-charges-and-benefits,https://Superdigital-HoldCo@dev.azure.com/Superdigital-HoldCo/global-platform/_git/pa-client-ms-charges-and-benefits,61307,2021-04-15 19:48:40+00:00
56eb7cc4-4e22-4cf4-8039-046d01c09762,pocs-globalplatform-dotnet,https://Superdigital-HoldCo@dev.azure.com/Superdigital-HoldCo/global-platform/_git/pocs-globalplatform-dotnet,17143843,2020-06-11 21:00:58+00:00
f356cfc9-587d-451c-9186-0495f3d8dda8,services-ios,https://Superdigital-HoldCo@dev.azure.com/Superdigital-HoldCo/global-platform/_git/services-ios,1518,2021-02-15 11:57:01+00:00
599035f2-10cf-491c-838e-0519a9f93570,do-tf-aks-node-pool,https://Superdigital-HoldCo@dev.azure.com/Superdigital-HoldCo/global-platform/_git/do-tf-aks-node-pool,3531,2020-05-29 02:00:32+00:00
